Region,Year,Month,SoilTemperature-10,SoilTemperature-30,SoilTemperature-50,Rainfall,Temperature,Min Temperature,Max Temperature,Humidity,Sunshine,Wind Speed,Surface Pressure,Solar Radiation
0,2009,12,32.42,32.12,32.05,0.00,18.64,13.09,27.01,86.71,6.97,1.84,101398.32,184.95
0,2010,1,19.29,20.53,21.33,0.00,16.60,10.81,25.08,82.68,7.08,2.38,101480.00,200.87
0,2010,2,22.27,22.93,23.37,2.00,21.57,15.56,29.47,81.79,7.54,1.91,101228.77,218.85
0,2010,3,28.31,28.13,27.87,14.00,27.78,22.92,34.15,80.94,8.25,3.34,100876.63,248.81
0,2010,4,30.86,30.40,30.04,21.00,29.91,26.54,34.69,74.63,8.45,4.62,100623.40,237.67
0,2010,5,30.67,30.47,30.20,146.00,29.29,25.82,34.23,73.65,6.66,3.56,100310.44,208.89
0,2010,6,30.59,30.51,30.35,287.00,29.01,26.43,32.52,77.30,3.78,4.03,100153.45,168.12
0,2010,7,30.82,30.60,30.49,180.00,28.80,26.69,31.90,80.03,4.75,3.69,100238.33,180.59
0,2010,8,30.90,30.71,30.60,205.00,28.95,26.75,32.49,86.81,4.81,2.84,100352.32,171.09
0,2010,9,30.65,30.54,30.48,157.00,28.49,26.22,32.30,87.23,5.05,2.50,100512.25,160.24
0,2010,10,29.76,29.81,29.76,332.00,27.95,24.96,32.57,86.74,7.00,1.87,100631.72,173.94
0,2010,11,26.17,26.58,26.85,0.00,24.51,20.50,30.86,87.97,6.94,1.56,101085.37,178.22
0,2010,12,20.67,21.60,22.42,13.00,18.78,13.46,26.75,86.58,6.15,2.08,101067.58,169.35
0,2011,1,18.37,19.31,20.38,0.00,16.74,10.92,24.96,85.23,6.65,2.12,101264.46,198.48
0,2011,2,21.85,22.16,22.39,1.00,21.29,15.26,29.35,82.43,7.87,2.25,101130.93,222.28
0,2011,3,25.78,25.68,25.66,16.00,25.51,20.12,32.42,80.65,7.97,2.82,100898.99,241.90
0,2011,4,28.85,28.80,28.58,28.00,27.53,23.00,33.31,75.57,7.52,1.93,100814.38,256.57
0,2011,5,30.79,30.53,30.35,145.00,28.75,25.17,33.82,69.45,7.25,3.06,100378.21,211.55
0,2011,6,30.52,30.46,30.51,381.00,28.72,26.29,32.30,77.90,3.57,3.53,99926.38,152.87
0,2011,7,30.78,30.50,30.53,387.00,28.68,26.45,31.76,80.90,4.78,3.14,100120.04,168.59
0,2011,8,30.40,30.32,30.46,614.00,28.01,25.93,31.01,85.65,3.40,3.22,100218.42,132.70
0,2011,9,30.24,30.25,30.44,367.00,28.14,25.90,31.67,88.67,4.16,3.15,100285.56,158.57
0,2011,10,29.94,30.30,30.51,3.00,27.84,24.48,32.91,88.55,6.85,1.41,100847.88,192.38
0,2011,11,25.20,26.31,27.03,6.00,23.27,18.40,30.34,88.33,7.74,1.58,101189.57,193.53
0,2011,12,21.18,22.45,23.40,0.00,18.86,14.28,26.13,85.68,5.59,1.96,101317.35,170.55
0,2012,1,19.83,20.83,21.73,66.00,17.85,12.99,24.65,84.16,5.38,2.13,101369.65,173.08
0,2012,2,21.41,21.72,22.21,18.00,21.10,14.33,29.61,82.76,8.29,2.16,101081.96,230.97
0,2012,3,26.73,26.69,26.59,1.00,26.61,21.84,33.27,85.16,7.54,2.48,100870.99,245.05
0,2012,4,29.46,29.00,28.85,52.00,28.21,23.71,33.77,75.80,7.31,3.17,100650.68,227.73
0,2012,5,31.42,31.09,30.95,63.00,29.78,25.87,34.61,73.74,6.91,2.97,100277.88,242.37
0,2012,6,31.43,31.29,31.28,255.00,29.66,27.22,33.33,77.23,3.80,4.01,99820.71,187.11
0,2012,7,31.11,31.00,31.11,391.00,28.53,26.55,31.94,79.68,3.73,4.01,99963.10,169.49
0,2012,8,30.84,30.73,30.91,254.00,28.56,26.20,32.09,80.87,5.14,3.28,100176.84,178.50
0,2012,9,30.23,30.19,30.40,374.00,28.21,25.98,31.82,87.57,4.13,2.93,100509.66,166.36
0,2012,10,29.23,29.62,29.89,89.00,26.82,23.30,32.05,89.90,6.89,1.97,100973.47,184.10
0,2012,11,25.32,26.28,27.00,80.00,22.91,18.69,29.16,87.77,6.07,1.95,101129.85,169.84
0,2012,12,20.29,21.53,22.61,2.00,17.55,12.67,25.20,89.19,5.92,1.95,101298.40,180.70
0,2013,1,18.29,19.15,20.14,1.00,16.57,10.56,24.81,85.06,7.09,2.28,101473.88,193.59
0,2013,2,21.19,21.43,21.80,7.00,21.13,14.78,29.04,80.36,7.69,2.67,101285.55,224.37
0,2013,3,26.17,25.79,25.65,19.00,26.30,20.98,33.15,84.58,8.59,2.22,100994.19,257.64
0,2013,4,30.05,29.46,29.09,62.00,28.42,24.01,34.05,78.93,8.22,2.82,100655.35,252.52
0,2013,5,29.31,29.27,29.33,430.00,27.69,24.85,31.39,75.45,3.80,4.37,100272.52,152.13
0,2013,6,31.63,30.97,30.85,212.00,29.39,26.82,32.85,77.80,5.73,3.05,100031.63,191.02
0,2013,7,30.98,30.83,30.85,313.00,28.48,26.47,31.30,80.55,4.75,3.98,99959.89,174.13
0,2013,8,30.90,30.63,30.75,482.00,28.35,26.23,31.42,86.97,3.99,2.98,100211.11,153.04
0,2013,9,30.84,30.75,30.91,255.00,28.35,26.07,32.10,85.93,4.18,2.16,100438.55,156.89
0,2013,10,29.34,29.55,29.79,248.00,26.76,24.15,30.85,87.19,5.14,1.82,100945.25,145.27
0,2013,11,25.10,26.13,26.78,0.00,22.76,17.59,29.97,88.20,8.44,2.13,101223.70,200.89
0,2013,12,21.46,22.70,23.61,0.00,19.15,13.97,26.73,88.00,6.71,1.94,101359.49,179.07
0,2014,1,19.68,20.18,21.04,0.00,17.10,11.93,24.51,86.61,6.44,2.25,101593.68,194.64
0,2014,2,21.67,21.93,22.35,24.00,20.54,14.71,27.52,80.11,7.59,2.12,101232.55,215.55
0,2014,3,26.35,25.97,25.85,5.00,26.19,20.39,32.76,82.21,8.42,2.33,101128.23,257.29
